

Set a reminder on date 23rd November'2016	Not Found
I need a daily wake up call	wake up call
remind me 6 pm today eveng	Not Found
Hi Pls to make one reminder for me	Not Found
Remind me at 28 December for recharge	recharge
Can u help me with reminder..	Not Found
Can u pls remind me at 7pm on 8 Jan	on 8 Jan
What is my next reminder?	What
Can u please set me an alarm at 7.30 am	Not Found
Set a reminder on 4 th Dec of going to meet sonal miss at 2:00 pm	meet sonal miss
Remind me to purchase shoe polish liquid Date:3 Jan Time:6.30 pm	purchase shoe polish
Thanks at least I'll remember my loves birthday this time	my loves birthday
I setd a reminder but it dint remained me	Not Found
Susan dmello meeting with sujit sir remind him Tomorrow	meeting with sujit sir remind him
I need to set reminder to msg babbu at 7 in evening	msg babbu
Hi give me a reminder to pay LIC Premium on tonight 9 PM	pay LIC Premium
3 alarms 7:15 am 7:30 am 7:45 am	Not Found
Daily	Not Found
Remind me to go to bank at 11 am today	go to bank
Remind me to buy eggs on next Monday and Tuesday at 9pm	buy eggs
Please remind me for internal audit review meeting at 12.45 today	internal audit review meeting
One more reminder I have	Not Found
Evening 5 o'clock	Not Found

bill.on 7th december	pay my mobile bill.on
Small help about	Not Found
Can u remind to get my bathroom cleaned by anil bhaiya every 25th of every month	get my bathroom cleaned
Can u start your reminder from 8.30am to 5 pm	Not Found
But I want you to call her n wish ..is tht possible?	call her n wish ..is tht possible?
Already done...Thanks for the reminder	Not Found
Remind me to go for the purchase of kites at 1:30	go for the purchase of kites
Call me at 8:30 am	Call me
Pls schedule this for tomorrow 1pm..	Not Found
Now i will have to go and find ur settings tab to get rid of your disturbing notifications every hour!!!!! I would rather uninstall this app.	go and find ur settings tab and get rid of your disturbing notifications and rather uninstall this app
Call hotel moriz, mysore today at 9.30 pm regarding room confirmation	Call hotel moriz, mysore and regarding room confirmation
Remind me at six today 6pm	Not Found
Good morning. ..Thank you, nothing for now	..Thank you, nothing
Remind me to issue cheque book on coming monday at 10:30	issue cheque book
Alarm for 7	Not Found
Deepika please set the scheduled time	Not Found
Remind me to buy kunda by tomorrow evening	buy kunda
Make remainder	Not Found
Remind me of SBI card payment of rs 4465 by 04/12/16 11am	SBI card payment of rs 4465
Unsubscribe me from all the reminder	Not Found
